island shipper

range moss

	round
		hold out 120000
		#hold out 6000
		#1
		pace-slow
		rock 4 a4

		#sfx-play oasisWorld -28.0

		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		wait 1000
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 4 a4
		wait

		pineapple b0 b4
		wait 2000

		balloon a1
		wait 700
		balloon a8
		wait 2200
		sfx-play Windmill_YokoKanno -35.0
		wait 1000

		#2
		pace-normal
		wait 4000
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 4 a4
		wait

		balloon a4

		wait 3300

		#3

		rock 1 a1
		wait 1500
		rock 2 a2
		wait 1500
		rock 3 a3
		wait 1500
		rock 4 a4
		wait

		pace-slow
		wait 1500
		rock 8 a8
		wait 1000
		rock 7 a7
		wait 1000
		rock 6 a6
		wait 1000
		rock 5 a5
		wait 1000
		rock 4 a4
		wait
		clear

		# freebies
		pace-slow
		wait 3000
		rock-grey 1 a1
		wait 50
		rock-grey 2 a2
		wait 50
		rock-grey 3 a3
		wait 50
		rock-grey 4 a4
		wait 50
		rock-grey 8 a8
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 6 a6
		wait 50
		rock-grey 5 a5
		wait 50
		rock-grey 4 a4
		wait 1000
		pineapple b0 b5

		wait
		ammo
		wait 3000

		# PART 2 - SPARSE PAIRS - make them go faster and faster

		pace-slow
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait


		pace-normal
		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		pace-fast
		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait


		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait


		wait 1000
		pineapple a0 a5
		wait 2000


		balloon a4
		wait 500
		balloon b4
		wait 500
		balloon c4
		wait 3500

		pace-normal
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		#Alternate Sides with balloon wall in the way.
		rock 2 a2
		wait 0
		rock 5 a5
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 2 a2
		wait 0
		rock 5 a5
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait


		# to ROW B
		rock 2 b2
		wait 0
		rock 5 b5
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		rock 2 b2
		wait 0
		rock 5 b5
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		# end Row B

		rock-black
		# time check

		pace-slowest
		wait 3000
		rock-grey 1 a1
		wait 50
		rock-grey 2 a2
		wait 50
		rock-grey 3 a3
		wait 50
		rock-grey 4 a4
		wait 50
		rock-grey 8 a8
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 6 a6
		wait 50
		rock-grey 5 a5
		wait 50
		rock-grey 4 a4
		wait 1000
		pineapple b0 b5
		wait 2000
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 50
		rock-grey
		wait 1000


		balloon-check
range moss2
	
	round
		hold out 120000
		# first half is sideways rocks - Then black rocks, then balloon walls again
		# Add some oranges too

		# Phase 1 - slow
		pace-slow
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 2000

		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1200
		rock 4 b4
		wait

		#sfx-play Windmill_YokoKanno -35.0
		sfx-play C418 -35.0

		# faster - 1 change
		pace-normal
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 2000

		# yellows slow
		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1200
		rock-black 4 b4
		wait


		# 3 - faster, add blacks
		pace-fast
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 2500


		# yellows slow
		rock 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock 4 b4
		wait 1200
		rock 7 b7
		wait 1200
		rock-black 7 b7
		wait

		#Repeat pattern faster 2
		pace-faster
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 2000

		# yellows slow
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 1200
		rock-black 7 b7
		wait 1200
		rock-black 2 b2
		wait 1200
		rock 4 b4
		wait

		wait 2000

		pace-impossible
		rock-black 2 b2
		wait 400
		rock-black 7 b7
		wait 600
		rock-black 4 b4
		wait 1000

		# increase the sequencing
		rock-black 2 b2
		wait 500
		rock-black 7 b7
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		pineapple 7 a7
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		rock 4 b4
		wait

		wait 2000

		# frenzy mode
		rock-black 2 b2
		wait 500
		rock-black 7 b7
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 7 b7
		wait 600
		pace-normal
		rock 2 b2
		wait 600
		pace-impossible
		rock-black 4 b4
		wait 600
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		rock-black 4 b4
		wait 600
		pace-impossible
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		pace-normal
		rock 2 b2
		wait 600
		pace-impossible
		rock-black 4 b4
		wait 600
		rock-black 2 b2
		wait 600
		pace-normal
		rock 7 b7
		wait 600
		pace-impossible
		rock-black 7 b7
		wait 600
		rock-black 2 b2
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 4 b4
		wait 600
		rock-black 4 b4
		wait 600

		# questionable break?
		rock-black 7 b7
		wait 300
		rock-black 2 b2
		wait 300
		rock-black 4 b4
		wait
		wait 1000
		pace-normal
		rock 4 b4
		wait

		# freebies
		pace-slow
		wait 3000
		rock-grey 4 a4
		wait 50
		rock-grey 4 a4
		wait 50
		rock-grey 4 a4
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 2 a2
		wait 50
		rock-grey 2 a2
		wait 50
		rock-grey 2 a2
		wait

		wait 1000
		# going back into tricky pattern
		pace-slow
		rock 4 b4
		wait 1000
		rock 7 b7
		wait 1400
		rock 2 b2
		wait 1500
		rock-black 4 b4
		wait
		wait 1000
		# repeat new pattern, single variation
		rock 4 b4
		wait 1000
		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1400
		rock-black 7 b7
		wait 1400
		rock 4 b4
		wait 1500
		rock-black 2 b2
		wait

		# repeat new pattern, another variation
		pace-normal
		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1400
		rock-black 7 b7
		wait 1400
		rock-black 4 b4
		wait 1400
		rock 4 b4
		wait 1500
		rock-black 4 b4
		wait

		# repeat new pattern, less wait times
		rock 2 b2
		wait 250
		rock 7 b7
		wait 350
		rock-black 7 b7
		wait 350
		rock-black 4 b4
		wait 350
		rock 4 b4
