island shipper


	
range moss1

	play $0
	reward $200
	
	round
		#AMMO needed was 47

		#define yellow1
		#wait
		#rock
		#end

		#run yellow1
		#run yellow2
		#run yellow3


		# This one has no breaks, a constant rhythm that progressively gets faster.
		# It also has a pattern of 3 blacks and then a mix up round.

		#no-lives
		#ammo-unlimited

		ammo c6
		ammo c7
		ammo c8
		ammo c1
		ammo c2
		ammo c3

		ammo b6
		ammo b7
		ammo b8
		ammo b1
		ammo b2
		ammo b3

		sfx-play c418 -45.0

		# Phase 1 - slow
		pace-slow
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock-grey 7 b7
		wait 1000
		rock 4 b4
		wait 1000


		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-grey 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock 4 b4
		wait 1000



		#pace-normal
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock-grey 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#3 yellow rocks two
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 7 a5
		wait 0

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		#3 yellow rocks two
		rock 1 a3
		wait 0
		rock 2 a3
		wait 0
		rock 7 a3
		wait 0

		rock-black 4 b4
		wait 1000






		#pace-fast
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock-black 2 b2
		wait 1000
		rock-grey 7 b7
		wait 1000
		#3 yellow rocks three
		rock 1 a7
		wait 0
		rock 2 a7
		wait 0
		rock 7 a7
		wait 0

		wait 2000





		# PHASE 2
		pace-faster
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock-grey 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#3 yellow rocks two
		pace-normal
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 7 a5
		wait 0

		pace-faster
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		#3 yellow rocks two
		pace-normal
		rock 1 a3
		wait 0
		rock 2 a3
		wait 0
		rock 7 a3
		wait 0

		pace-faster
		rock-black 4 b4
		wait 1000
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock-black 2 b2
		wait 1000
		rock-grey 7 b7
		wait 1000
		#3 yellow rocks three
		pace-normal
		rock 1 a7
		wait 0
		rock 2 a7
		wait 0
		rock 7 a7
		wait 


		#PHASE 3


		wait 3000
		rock 7 a2
		wait
		wait 2000


		pace-impossible
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#3 yellow rocks two
		pace-normal
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 8 a5
		wait

		# RIGHT HERE THE BUG HAPPENS

		wait 3000
		rock 7 a2
		wait 4000

		pace-faster
		rock-black 2 c2
		wait 250
		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250

		rock-black 2 c2
		wait 250
		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250


		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250
